host_id,id,earnings
3073,1,2184
10704,74,417244
34580,1,41064
41161,1,2240
44384,1,22000
45448,1,0
71615,33,93841
73163,1,246000
82522,3,21012
90417,1,15480
95585,1,23074
98297,1,44660
108310,1,6572
114509,2,3080
121825,14,106650
131794,24,448294
133951,1,13680
134673,1,54468
134698,3,11306
135703,13,439632
136853,24,147215
139968,1,24675
140659,1,177
143513,1,3108
150480,2,11670
152232,4,48390
154251,1,21780
154720,1,1000
155686,3,38967
158596,1,3038
161753,1,3200
170357,1,3844
177617,5,217597
180072,3,11770
180478,1,19635
183340,1,36180
184577,1,0
184795,2,1255
206635,3,94710
208154,2,4865
210484,1,0
234605,1,6160
235405,1,400
249351,1,235200
255477,1,30
258308,1,640
264069,1,180
265165,1,34560
266650,1,357120
267921,1,0
280070,1,51000
286441,1,270
289673,1,18848
292920,1,1064
297545,5,56390
299462,76,2450959
301380,1,576
315378,1,9801
323105,1,39150
338116,2,4394
340570,1,5640
353987,1,12188
363382,1,50
365823,1,400
366428,1,1750
366654,9,222280
375625,5,435000
382031,1,32760
383697,16,288820
384518,1,17850
385249,11,57237
388382,1,28200
396363,94,104392
400154,5,43680
400416,6,100611
404364,2,99360
420786,1,230400
439965,1,33440
440825,1,2555
440881,2,26168
447708,1,59730
454681,1,105120
469805,1,3108
474355,1,17745
477049,1,11349
478821,1,67200
480528,17,173406
488117,6,120780
488151,1,47385
491007,11,71229
494228,2,33860
497450,3,350388
498256,2,1750
502278,2,3375
509260,1,19504
511623,1,0
512759,1,900
513422,1,1200060
518063,1,7840
522656,3,14540
527201,2,77640
529756,2,1875
542867,1,17978
543801,1,7240
544543,1,1340
556626,1,22440
566943,2,7808
567180,13,297351
573365,1,130
581619,1,1680
582060,24,705468
586787,2,15813
591556,1,960
594334,5,242754
600839,1,4640
603336,1,45666
610674,8,15645
612665,7,211560
617921,1,6552
628275,1,198
631951,1,10965
632830,1,0
635253,1,23220
641496,1,5904
642984,1,350
646705,1,0
655279,2,3674
656048,1,61920
656257,1,5775
657642,1,15132
663209,1,1120
663388,1,8814
664196,1,15520
665423,1,10348
665793,4,51632
666414,1,8040
672234,1,0
673996,1,136800
674212,8,330500
682816,1,0
683849,1,472
690116,2,2490
697547,1,83660
700165,4,13708
